 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1570,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10389-07950,1.231,1.971,0.482,1.556,2.500,3.624
1571,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10419-08644,41.031,2.461,1.245,0.824,5.500,23.837
1572,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10453-06510,0.410,2.154,0.000,2.154,2.154,2.562
1573,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10457-02402,0.410,3.600,0.000,3.600,3.600,2.562
1574,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10453-06520,106.271,1.849,0.738,0.905,4.333,39.302
1575,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10485-07012,55.803,2.543,0.620,1.368,3.900,27.836
1576,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10489-05478,20.516,2.428,0.311,1.750,3.231,15.995
1577,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10534-06584,10.258,2.081,0.309,1.368,2.647,12.902
1578,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10536-05645,67.291,1.833,0.600,1.158,3.917,32.210
1579,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10540-03835,17.233,2.740,0.481,1.583,3.800,14.714
1580,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10539-05790,27.901,3.070,0.727,1.667,4.889,18.933
1581,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10596-06547,49.648,1.553,0.471,0.932,3.125,25.649
1582,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10600-03132,16.823,2.454,0.360,1.741,3.188,15.620
1583,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10607-06471,108.323,2.471,0.644,1.259,5.929,39.146
1584,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10650-06118,17.643,2.688,0.464,1.929,4.182,15.464
1585,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10655-06748,0.410,2.188,0.000,2.188,2.188,2.562
1586,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10671-03734,50.058,2.553,0.440,1.652,3.818,25.649
1587,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10690-05944,45.545,1.790,0.606,0.836,3.778,30.178
1588,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10698-03121,73.446,3.055,1.093,1.459,7.000,35.458
1589,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10716-08780,1.231,2.560,0.268,2.250,2.714,3.624
1590,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10761-02779,16.823,2.683,0.468,1.842,3.550,15.464
1591,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10772-08441,17.233,2.509,0.631,1.636,4.000,16.901
1592,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10789-06777,41.442,2.547,0.551,1.481,3.743,23.462
1593,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10798-06564,24.619,1.653,0.200,1.250,2.160,18.713
1594,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10802-03699,15.592,3.714,0.716,2.429,4.900,14.183
1595,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10810-08065,36.108,3.322,0.766,1.696,5.381,21.650
1596,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10818-03676,20.105,2.774,0.451,2.056,4.077,16.370
1597,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10824-05805,57.033,1.757,0.615,0.803,3.636,32.146
1598,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10833-07534,6.975,2.590,0.483,1.733,3.600,9.809
1599,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10837-08291,9.027,2.668,0.381,1.867,3.357,13.058
1600,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10886-05516,20.926,2.285,0.406,1.333,3.105,16.901
1601,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10893-07908,2.872,2.380,0.350,2.000,2.889,7.622
1602,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10891-07901,30.773,2.545,0.814,1.182,4.571,28.367
