 ,Label,Area,Mean,StdDev,Min,Max,Perim.
418,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09094-05701,0.410,1.250,0.000,1.250,1.250,2.562
419,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09094-05703,0.410,0.912,0.000,0.912,0.912,2.562
420,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09096-05698,1.231,1.373,0.138,1.250,1.522,4.905
421,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09095-05709,14.361,1.622,0.354,1.000,2.400,23.242
422,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09115-06838,48.417,1.921,0.581,1.067,3.875,26.180
423,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09135-07230,6.565,2.572,0.396,1.833,3.167,9.434
424,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09136-06780,19.285,2.937,0.588,1.750,4.143,16.370
425,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09139-03628,30.773,2.988,0.678,1.353,4.769,20.900
426,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09179-01529,41.442,2.182,0.409,1.320,3.273,24.212
427,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09190-05025,1.641,2.556,0.151,2.333,2.667,5.124
428,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09188-06181,15.592,2.387,0.300,1.647,3.000,15.089
429,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09191-06879,11.489,1.900,0.253,1.500,2.375,16.526
430,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09197-06390,73.446,2.179,0.450,1.310,3.850,32.960
431,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09234-08072,12.720,1.840,0.207,1.571,2.308,15.995
432,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09237-11437,3.283,2.190,0.319,1.769,2.667,7.622
433,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09243-09387,22.157,1.352,0.304,0.833,2.167,16.901
434,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09279-05022,8.206,1.282,0.374,0.838,2.364,19.243
435,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09279-02912,31.184,2.599,0.790,1.458,4.903,20.214
436,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09284-05020,0.410,2.067,0.000,2.067,2.067,2.562
437,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09285-02338,23.388,2.585,0.432,1.667,3.625,18.182
438,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09309-08975,0.410,2.833,0.000,2.833,2.833,2.562
439,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09310-03491,9.027,1.697,0.161,1.348,2.087,10.715
440,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09313-08990,0.821,1.647,0.107,1.571,1.722,3.843
441,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09315-08982,1.231,2.631,0.562,2.077,3.200,3.624
442,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09310-08987,69.343,1.892,0.477,1.000,4.111,52.890
443,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09317-06642,38.159,2.430,0.557,1.450,3.781,22.931
444,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09333-05226,20.516,2.070,0.416,1.294,3.200,16.526
445,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09358-04193,9.437,1.753,0.665,0.852,2.875,11.621
446,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09379-05727,33.646,2.716,0.597,1.550,5.071,21.120
447,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09383-06956,29.543,1.990,0.364,1.185,2.955,21.275
448,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09388-05585,19.285,2.690,0.601,1.500,4.143,16.215
449,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09411-06421,8.206,2.011,0.282,1.500,2.500,10.560
450,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09411-06665,4.513,1.914,0.306,1.350,2.400,8.528
451,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09428-08806,87.807,2.022,0.654,1.000,4.500,37.115
452,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09457-03151,62.368,2.285,0.702,1.111,4.600,29.803
453,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09470-07474,1.231,2.070,0.146,1.923,2.214,3.624
454,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09471-09668,1.231,1.731,0.252,1.500,2.000,3.624
455,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09469-04833,13.130,2.063,0.307,1.500,2.909,13.277
456,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09490-00803,42.673,1.946,0.526,1.125,4.600,25.274
457,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09496-09589,28.312,2.587,0.497,1.643,3.562,20.149
458,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09545-06220,2.052,2.377,0.229,2.125,2.667,4.905
459,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09545-06214,22.157,2.313,0.629,1.308,3.875,19.243
460,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09590-08010,1.641,2.028,0.387,1.667,2.571,4.529
461,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09611-04510,2.462,1.560,0.190,1.357,1.833,5.435
462,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09619-05987,16.002,1.423,0.228,1.030,1.947,14.559
463,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09635-05276,16.823,2.076,0.350,1.467,3.000,14.714
464,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09650-09670,32.415,2.073,0.679,1.094,4.000,21.275
465,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09659-03694,0.410,1.538,0.000,1.538,1.538,2.562
466,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09663-02608,23.388,2.913,0.538,1.667,4.000,17.276
467,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09672-05807,28.722,1.873,0.753,0.863,3.500,19.994
468,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09672-04515,36.518,1.992,0.329,1.406,3.118,22.711
469,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09684-06674,4.103,1.279,0.208,0.900,1.571,7.998
470,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09694-06043,3.283,2.767,0.391,2.071,3.308,5.811
