 ,Label,Area,Mean,StdDev,Min,Max,Perim.
7041,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04524-06735,24.619,1.617,0.274,1.118,2.818,22.336
7042,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04599-02576,46.776,1.473,0.302,0.950,2.500,26.555
7043,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04794-01933,14.771,1.305,0.151,1.000,1.643,15.245
7044,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04837-07786,0.410,1.833,0.000,1.833,1.833,2.562
7045,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04843-03246,43.493,2.069,0.292,1.500,3.308,24.743
7046,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04899-05629,0.410,1.529,0.000,1.529,1.529,2.562
7047,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04901-05628,0.410,1.238,0.000,1.238,1.238,2.562
7048,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04902-05624,0.410,1.300,0.000,1.300,1.300,2.562
7049,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04902-05627,2.462,1.390,0.204,1.200,1.684,8.153
7050,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04927-01533,68.933,1.434,0.218,0.931,1.957,31.149
7051,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04956-07154,22.567,2.639,0.694,1.462,4.412,17.276
7052,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05112-04932,5.334,1.511,0.293,1.105,2.000,8.903
7053,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05128-08844,0.410,1.348,0.000,1.348,1.348,2.562
7054,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05136-08850,0.410,1.040,0.000,1.040,1.040,2.562
7055,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05137-08857,0.410,1.450,0.000,1.450,1.450,2.562
7056,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05128-08857,162.894,1.290,0.159,0.880,1.750,53.110
7057,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05148-08206,59.495,1.675,0.288,1.000,2.765,28.367
7058,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05154-04981,66.881,1.165,0.242,0.722,2.059,34.022
7059,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05163-07574,13.951,1.625,0.198,1.227,2.125,13.808
7060,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05168-04953,24.208,2.612,0.302,2.000,3.429,18.182
7061,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05190-07314,7.796,1.837,0.344,1.231,2.444,10.715
